label,buiy,ui,exec,threads_req,pool_threads,par_entities,par_cost,dirty,frames,min_us,p50_us,p90_us,p99_us,mean_us
sizeS_text_small,1,text_small,mt,8,8,4000,0,0,120,751.2,829.1,945.9,1133.0,850.6
sizeD_text_small,1,text_small,mt,8,8,4000,0,1,120,3392.2,3718.5,4366.8,4798.5,3808.8
sizeD_text_small_upd,1,text_small,mt,8,8,4000,0,1,120,262.7,308.5,374.2,452.7,321.0
sizeS_text_large,1,text_large,mt,8,8,4000,0,0,120,2309.5,2446.5,2679.8,3274.5,2507.2
sizeD_text_large,1,text_large,mt,8,8,4000,0,1,120,13196.7,14161.0,16122.8,17430.7,14465.4
sizeD_text_large_upd,1,text_large,mt,8,8,4000,0,1,120,409.8,502.6,666.4,1204.1,543.0
sizeS_text_huge,1,text_huge,mt,8,8,4000,0,0,120,8983.2,9608.6,10147.2,10487.1,9679.3
sizeD_text_huge,1,text_huge,mt,8,8,4000,0,1,120,52640.8,56548.6,64326.0,69271.4,57961.5
sizeD_text_huge_upd,1,text_huge,mt,8,8,4000,0,1,120,1066.0,1248.9,1631.5,2812.8,1338.8
ovl_bare_upd,0,none,mt,1,1,4000,600,0,120,58426.4,60528.5,72905.6,76439.0,63066.3
ovl_textS_upd,1,text_large,mt,1,1,4000,600,0,120,58977.9,59951.2,71747.1,75042.3,61976.9
ovl_flatS_upd,1,flat_large,mt,1,1,4000,600,0,120,59952.1,61446.2,67553.6,74088.2,63037.4
ovl_bare_upd,0,none,mt,2,2,4000,600,0,120,29720.5,33170.3,37968.2,40457.2,33935.8
ovl_textS_upd,1,text_large,mt,2,2,4000,600,0,120,29955.9,32337.6,38486.0,54069.6,34019.9
ovl_flatS_upd,1,flat_large,mt,2,2,4000,600,0,120,31257.9,36768.2,39689.2,40711.8,36536.4
ovl_bare_upd,0,none,mt,4,4,4000,600,0,120,15306.6,16969.1,19655.6,20798.1,17435.8
ovl_textS_upd,1,text_large,mt,4,4,4000,600,0,120,15476.7,16422.2,17659.3,18565.2,16619.3
ovl_flatS_upd,1,flat_large,mt,4,4,4000,600,0,120,16317.6,17807.5,19359.2,22161.4,18064.1
ovl_bare_upd,0,none,mt,8,8,4000,600,0,120,8015.3,9517.9,11249.2,15091.8,9774.6
ovl_textS_upd,1,text_large,mt,8,8,4000,600,0,120,8456.2,9949.4,11717.9,12874.0,10066.1
ovl_flatS_upd,1,flat_large,mt,8,8,4000,600,0,120,9149.6,11600.8,15910.1,31238.0,12867.3
ovl_bare_upd,0,none,mt,16,16,4000,600,0,120,6244.2,8048.3,9506.5,11931.4,8422.6
ovl_textS_upd,1,text_large,mt,16,16,4000,600,0,120,6324.8,8534.6,9719.0,11144.2,8646.6
ovl_flatS_upd,1,flat_large,mt,16,16,4000,600,0,120,8269.1,9386.0,10502.4,12048.1,9563.0
