label,buiy,ui,exec,threads_req,pool_threads,par_entities,par_cost,dirty,frames,min_us,p50_us,p90_us,p99_us,mean_us
bare_mod,0,none,mt,1,1,4000,600,0,150,58647.1,60957.0,71129.0,76246.3,62671.9
flatS_mod,1,flat_large,mt,1,1,4000,600,0,150,59660.7,63391.3,74343.4,77854.7,65264.7
flatD_mod,1,flat_large,mt,1,1,4000,600,1,150,61518.2,65364.2,72119.4,78668.5,66536.2
textS_mod,1,text_large,mt,1,1,4000,600,0,150,61349.0,64002.8,69766.0,88188.6,65456.6
textD_mod,1,text_large,mt,1,1,4000,600,1,150,72087.6,77681.4,90158.2,93887.8,79455.5
bare_mod,0,none,mt,2,2,4000,600,0,150,29487.3,32144.2,36890.2,37754.9,32739.9
flatS_mod,1,flat_large,mt,2,2,4000,600,0,150,30626.8,33314.9,36540.6,38568.0,33533.3
flatD_mod,1,flat_large,mt,2,2,4000,600,1,150,32272.7,36698.8,40410.2,42192.1,36815.9
textS_mod,1,text_large,mt,2,2,4000,600,0,150,32128.2,37005.6,40082.3,41212.0,36703.6
textD_mod,1,text_large,mt,2,2,4000,600,1,150,42339.7,47243.3,51630.0,53519.7,47509.5
bare_mod,0,none,mt,4,4,4000,600,0,150,15108.4,17036.9,19126.2,20382.7,17322.1
flatS_mod,1,flat_large,mt,4,4,4000,600,0,150,16212.1,17907.5,19879.3,22118.7,18189.1
flatD_mod,1,flat_large,mt,4,4,4000,600,1,150,18799.1,20489.4,22063.2,23289.5,20641.9
textS_mod,1,text_large,mt,4,4,4000,600,0,150,17858.2,20250.9,21558.1,23803.3,20265.2
textD_mod,1,text_large,mt,4,4,4000,600,1,150,28357.8,33321.1,36415.7,38638.5,33366.4
bare_mod,0,none,mt,8,8,4000,600,0,150,7911.0,9657.4,10247.0,11576.0,9604.0
flatS_mod,1,flat_large,mt,8,8,4000,600,0,150,9000.4,10716.6,11937.7,14040.2,10702.7
flatD_mod,1,flat_large,mt,8,8,4000,600,1,150,10669.8,12343.7,13619.2,15005.0,12422.7
textS_mod,1,text_large,mt,8,8,4000,600,0,150,10172.6,11841.5,13304.7,14561.1,11945.2
textD_mod,1,text_large,mt,8,8,4000,600,1,150,22163.8,24367.0,26907.9,29460.9,24579.4
